受访者编号,z_外向社交,z_尽责自律,z_情绪稳定,z_开放好奇,z_宜人友善,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
283,0.8396,1.5136,1.7177,-0.5044,-1.5106,4.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0
284,-0.0462,-0.4409,1.9993,-2.1024,-0.2846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
285,0.5443,0.3967,0.5913,1.0935,0.3283,3.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
286,0.2491,0.6759,-0.535,1.0935,1.5543,3.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0
287,-0.3415,0.1175,-0.535,0.2945,-0.2846,3.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0
288,-0.932,1.2344,1.4361,0.0282,0.6348,5.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,4.0,5.0,1.0
289,0.5443,0.9551,0.0282,-1.0371,-0.5911,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0
290,1.1349,-0.1617,-0.8166,1.6262,0.9413,4.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0
291,-0.3415,1.2344,0.5913,0.0282,0.6348,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0
292,1.1349,1.7928,0.0282,1.3598,0.6348,5.0,2.0,3.0,2.0,5.0,5.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,1.0
293,-2.4083,-1.5578,-2.2246,0.5609,-0.8976,2.0,2.0,2.0,4.0,4.0,1.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,5.0,2.0,1.0,2.0
294,-0.6367,0.9551,-0.2534,0.8272,-1.2041,2.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0
295,-0.6367,-0.7202,0.8729,-0.2381,0.3283,3.0,2.0,5.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,5.0,5.0,3.0,1.0,4.0
296,1.1349,-0.7202,0.3097,0.0282,-1.5106,5.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,5.0,1.0
297,-1.2273,-1.2786,0.5913,0.5609,-0.5911,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0
298,1.4302,0.1175,-0.8166,0.8272,0.9413,5.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,5.0,1.0,5.0,2.0,1.0
299,-0.0462,0.3967,0.8729,-0.5044,1.2478,4.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,5.0,5.0,3.0,2.0,2.0,3.0,1.0,2.0
300,-1.8178,0.3967,0.8729,1.3598,1.2478,1.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0
301,-1.8178,-1.2786,1.4361,0.5609,-0.2846,1.0,2.0,1.0,5.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0
302,1.1349,-0.9994,-1.0982,0.5609,1.5543,5.0,4.0,1.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,3.0,1.0,4.0,1.0,5.0,1.0,2.0
303,-1.2273,1.2344,-1.0982,-0.2381,-1.2041,2.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,1.0,5.0,1.0,1.0
304,1.1349,-1.2786,1.4361,0.5609,-1.2041,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0
305,1.1349,-1.2786,-0.535,1.0935,0.9413,3.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0
306,1.1349,-0.4409,-1.943,0.0282,0.9413,5.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0
307,-2.1131,-0.4409,-1.6614,0.8272,0.9413,1.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0
308,1.7254,0.9551,-0.535,-0.2381,0.6348,5.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0
309,1.4302,-1.2786,1.1545,0.2945,-0.2846,4.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0
310,-0.6367,-0.1617,-0.2534,-2.1024,0.0218,4.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0
311,0.5443,0.6759,0.8729,0.8272,1.8608,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,5.0
312,-0.0462,-0.9994,0.3097,-2.635,-0.5911,2.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0
313,0.8396,-1.837,0.0282,0.0282,-1.2041,3.0,2.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0
314,1.1349,-0.1617,1.4361,1.6262,0.9413,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
315,-0.932,-2.1162,-0.535,-0.7708,1.5543,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
316,0.5443,-0.9994,0.5913,-1.5697,-1.8171,4.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0
317,0.2491,0.6759,1.4361,-0.7708,0.9413,5.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0
318,0.5443,-0.1617,-0.2534,0.2945,-0.5911,2.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0
319,-0.6367,-1.5578,-0.535,1.3598,0.0218,4.0,3.0,2.0,4.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0
320,-0.3415,0.6759,0.0282,-0.5044,0.0218,3.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,1.0
321,1.4302,0.6759,-0.535,0.5609,1.2478,3.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,1.0
322,0.2491,1.5136,0.8729,-0.7708,-0.2846,2.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0
323,-2.1131,1.2344,1.1545,-0.5044,-0.2846,2.0,1.0,4.0,5.0,4.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0
324,-0.0462,-0.9994,0.0282,-1.3034,0.0218,4.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
325,0.8396,0.1175,-0.2534,0.5609,0.0218,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0
326,-0.3415,-0.7202,0.0282,-1.5697,0.0218,3.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
327,-1.2273,1.7928,0.0282,0.8272,0.3283,3.0,2.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0
328,0.8396,0.1175,1.1545,-0.7708,-1.2041,3.0,3.0,4.0,2.0,1.0,2.0,5.0,4.0,5.0,2.0,4.0,3.0,2.0,5.0,3.0,1.0,1.0
329,0.2491,0.1175,-2.2246,-1.5697,0.6348,4.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0
330,-1.8178,-0.7202,-0.2534,-0.5044,0.0218,4.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0
331,1.1349,-0.4409,0.3097,0.2945,-2.1236,3.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,5.0,1.0,5.0,5.0,1.0,2.0,4.0,1.0
332,-0.932,0.6759,-1.3798,0.0282,-0.5911,3.0,2.0,3.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0
333,0.5443,-0.4409,0.0282,0.2945,0.9413,3.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0
334,-0.3415,1.5136,-0.8166,0.5609,0.9413,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0
335,0.2491,0.1175,-0.8166,-0.5044,1.5543,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0
336,-1.5225,0.9551,1.1545,-1.3034,-2.1236,3.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0
337,0.5443,-0.4409,0.0282,-1.3034,0.3283,5.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0
338,0.8396,-1.5578,-1.6614,0.0282,0.0218,3.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
339,-0.0462,1.5136,0.3097,-1.0371,0.0218,2.0,2.0,1.0,5.0,3.0,2.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,2.0,1.0,3.0
340,0.2491,-0.9994,-1.6614,0.2945,0.6348,1.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0
341,0.2491,-1.2786,-0.8166,-0.2381,-1.2041,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
342,0.8396,-0.4409,0.0282,-0.7708,-0.2846,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0
343,1.4302,0.1175,-0.535,0.5609,0.9413,3.0,5.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,5.0,1.0,2.0
344,-0.932,1.5136,-0.535,-2.3687,-1.5106,2.0,4.0,4.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0
345,-0.3415,0.3967,-0.2534,0.2945,0.3283,4.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0
346,-0.6367,-0.9994,0.8729,-0.5044,-0.8976,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,2.0,4.0,1.0
347,-0.6367,0.1175,-2.2246,-1.0371,-2.4301,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0
348,1.1349,0.1175,0.5913,-0.5044,-0.2846,3.0,5.0,2.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,2.0,5.0
349,0.5443,-0.9994,-0.2534,-1.3034,-0.2846,5.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0
350,-0.932,-0.7202,0.8729,-1.5697,-0.2846,4.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0
351,0.8396,0.9551,0.3097,0.2945,0.6348,3.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0
352,0.2491,0.6759,-1.6614,-2.1024,0.9413,2.0,1.0,3.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0
353,-0.0462,-0.4409,-0.535,1.0935,0.3283,3.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,5.0,2.0,1.0,3.0
354,0.8396,1.5136,0.8729,1.3598,1.8608,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0
355,-0.3415,0.6759,-0.535,-0.7708,-1.2041,2.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0
356,-1.2273,0.1175,1.7177,-0.5044,-0.8976,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0
357,-0.3415,0.6759,0.5913,-1.3034,0.6348,3.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0
358,-0.6367,0.1175,0.0282,-1.5697,0.0218,5.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0
359,-0.3415,-0.1617,0.0282,0.2945,-0.5911,4.0,2.0,4.0,3.0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0
360,-0.6367,-0.7202,-1.943,-0.5044,-0.8976,4.0,1.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0,3.0,1.0,2.0
361,2.0207,2.072,-0.2534,1.6262,1.2478,3.0,5.0,5.0,5.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0
362,0.5443,1.2344,-1.943,0.8272,1.2478,2.0,3.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0
363,-0.0462,1.2344,-1.943,0.8272,1.2478,1.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,5.0
364,-0.6367,1.5136,1.1545,-1.0371,-0.8976,4.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0
365,-0.6367,0.3967,1.7177,0.8272,-0.2846,2.0,2.0,3.0,4.0,2.0,1.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,2.0,4.0
366,-0.3415,1.7928,0.5913,-1.5697,-0.5911,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0
367,0.5443,-0.7202,1.7177,-0.7708,0.3283,3.0,1.0,3.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,1.0,3.0,1.0
368,-0.6367,0.3967,-1.0982,0.5609,1.5543,5.0,2.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,5.0,2.0,3.0
369,-1.2273,0.6759,-0.535,-0.7708,0.3283,5.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,5.0,1.0
370,1.1349,-0.1617,0.5913,0.8272,-0.8976,3.0,3.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0
371,2.0207,0.6759,1.9993,0.8272,0.3283,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,2.0,5.0
372,-2.1131,1.7928,1.4361,-0.2381,-1.2041,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0
373,-0.0462,-0.1617,0.5913,-0.7708,0.0218,2.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
374,0.5443,0.1175,-1.6614,-1.0371,0.6348,5.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0
375,-1.5225,1.2344,-0.2534,-1.3034,-1.8171,4.0,2.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0
376,1.4302,-0.4409,-0.535,-2.1024,0.9413,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
377,-0.3415,0.3967,-1.0982,1.8925,0.0218,2.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,1.0
378,0.5443,-2.1162,-0.535,-0.5044,-0.5911,5.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,1.0
379,0.8396,0.6759,-0.2534,0.5609,0.0218,5.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0
380,1.7254,0.1175,0.5913,-0.5044,0.9413,4.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,1.0
381,-0.3415,-0.7202,1.1545,1.3598,0.0218,2.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0
382,2.0207,-0.7202,0.5913,-1.0371,1.5543,4.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,5.0,4.0,1.0
383,-0.3415,0.6759,1.1545,-0.7708,-0.2846,2.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0
384,-0.6367,-0.1617,-1.0982,1.3598,0.6348,3.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,1.0
385,1.1349,-1.2786,1.4361,0.2945,-0.2846,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0
386,-0.3415,-0.1617,0.0282,0.2945,-0.5911,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0
387,0.8396,-0.1617,-1.6614,0.8272,1.8608,5.0,2.0,2.0,2.0,4.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0,3.0,2.0,5.0,2.0,1.0
388,-0.0462,-1.2786,0.3097,0.8272,0.3283,3.0,4.0,2.0,4.0,4.0,5.0,4.0,1.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0
389,0.5443,0.1175,-0.535,1.0935,1.5543,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,5.0,1.0,2.0
390,-0.3415,0.1175,0.8729,0.2945,-0.2846,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0
391,-0.3415,-0.4409,0.0282,-0.5044,-0.2846,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0
392,-0.0462,0.3967,-0.8166,-1.5697,0.3283,4.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0
393,-0.6367,0.1175,0.8729,-1.836,-2.1236,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
394,-1.5225,-2.6747,-1.6614,-1.0371,-1.2041,3.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0
395,0.2491,-0.7202,1.1545,-0.2381,-1.2041,3.0,1.0,3.0,1.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,5.0,1.0,5.0,1.0
396,-0.3415,0.1175,-1.0982,-0.2381,-0.5911,3.0,4.0,2.0,5.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,5.0
397,-0.932,0.3967,-1.3798,0.2945,0.9413,3.0,5.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0
398,1.7254,0.6759,-0.2534,1.8925,0.0218,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0
399,0.8396,1.2344,1.7177,1.8925,1.5543,2.0,4.0,1.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,5.0
400,-1.2273,0.9551,0.0282,0.8272,-0.2846,4.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0
401,-0.0462,-0.7202,0.3097,-0.5044,-0.2846,2.0,1.0,3.0,1.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0
402,-0.3415,-0.1617,-0.535,-2.1024,1.8608,5.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0
403,-0.932,1.2344,0.5913,-0.7708,0.9413,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0
404,-0.6367,0.1175,-0.535,-0.2381,-0.5911,4.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,5.0,3.0,2.0,2.0,5.0,5.0,1.0,5.0,3.0
405,0.8396,-0.4409,0.3097,0.5609,0.3283,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0
406,-0.3415,1.5136,0.8729,-0.7708,0.3283,4.0,5.0,1.0,4.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0
407,0.5443,1.2344,-0.8166,1.3598,1.8608,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0
408,0.2491,1.5136,-1.6614,0.2945,0.0218,3.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,1.0,5.0
409,2.316,0.1175,-1.6614,0.0282,1.8608,5.0,1.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0
410,1.1349,-0.4409,0.8729,-1.836,0.9413,4.0,2.0,1.0,3.0,1.0,4.0,5.0,1.0,5.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0
411,2.0207,0.1175,-0.8166,0.0282,-0.8976,3.0,2.0,2.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,5.0,2.0,2.0
412,-1.2273,1.2344,-1.943,-0.5044,1.2478,3.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
413,-0.3415,-0.1617,0.3097,-1.0371,-0.2846,4.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0
414,1.1349,-0.7202,1.7177,1.8925,-1.2041,4.0,3.0,2.0,5.0,3.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0
415,0.2491,-0.4409,-1.943,0.2945,0.0218,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,4.0,2.0,1.0,5.0,3.0,3.0,3.0,1.0
416,1.4302,0.3967,0.0282,-0.7708,-0.8976,5.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0
417,-1.2273,0.6759,-1.6614,0.0282,0.0218,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,2.0
418,-1.5225,0.6759,-0.2534,0.2945,-0.2846,4.0,4.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0
419,1.1349,-0.4409,0.5913,0.5609,0.0218,5.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0
420,-0.0462,-0.1617,-0.2534,0.0282,-0.2846,1.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0
421,0.8396,0.6759,-1.0982,1.0935,1.5543,2.0,3.0,2.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0
422,1.7254,2.3512,-0.2534,0.2945,0.6348,4.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0
423,-0.3415,1.7928,-1.3798,1.0935,1.2478,3.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
424,1.1349,-0.4409,-0.2534,-1.5697,0.0218,5.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0
